tempc,precipmm,humidity,windspeedkmph,visibility,pressure,cloudcover,heatindexC,dewpointC,windchillC,windgustkmph,uvindex,time_new,datetime,icon,desc,temp,templow,baro,wind,wd,hum,year,month,day
26,0.0,81,13,10,1012,50,29,23,26,18,1,21,2018-01-04,14.0,Passing clouds.,27.0,25.0,1012.0,2.0,140.0,78.0,2018,1,4
26,0.0,81,12,10,1012,49,29,23,26,16,1,22,2018-01-04,14.0,Passing clouds.,27.0,25.0,1012.0,2.0,140.0,78.0,2018,1,4
26,0.0,82,10,10,1011,49,29,23,26,15,1,23,2018-01-04,14.0,Passing clouds.,27.0,25.0,1012.0,2.0,140.0,78.0,2018,1,4
26,0.0,83,9,10,1011,48,29,23,26,13,1,0,2018-01-05,14.0,Passing clouds.,24.0,24.0,1010.0,1.0,30.0,90.0,2018,1,5
26,0.0,83,9,10,1011,47,29,23,26,13,1,1,2018-01-05,14.0,Passing clouds.,24.0,24.0,1010.0,1.0,30.0,90.0,2018,1,5
26,0.0,84,9,10,1011,46,28,23,26,13,1,2,2018-01-05,14.0,Passing clouds.,24.0,24.0,1010.0,1.0,30.0,90.0,2018,1,5
26,0.0,85,9,10,1011,44,28,23,26,13,1,3,2018-01-05,14.0,Passing clouds.,24.0,24.0,1010.0,1.0,30.0,90.0,2018,1,5
26,0.0,83,9,10,1011,46,29,23,26,12,1,4,2018-01-05,14.0,Passing clouds.,24.0,24.0,1010.0,1.0,30.0,90.0,2018,1,5
26,0.0,82,9,10,1012,47,29,23,26,11,1,5,2018-01-05,14.0,Passing clouds.,24.0,24.0,1010.0,1.0,30.0,90.0,2018,1,5
27,0.0,80,9,10,1012,48,30,23,27,10,7,6,2018-01-05,3.0,Haze.,30.0,26.0,1012.0,1.0,280.0,72.0,2018,1,5
28,0.0,75,11,10,1012,46,31,23,28,12,7,7,2018-01-05,3.0,Haze.,30.0,26.0,1012.0,1.0,280.0,72.0,2018,1,5
29,0.0,71,12,10,1012,43,33,23,29,14,7,8,2018-01-05,3.0,Haze.,30.0,26.0,1012.0,1.0,280.0,72.0,2018,1,5
30,0.0,66,14,10,1012,41,34,23,30,16,7,9,2018-01-05,3.0,Haze.,30.0,26.0,1012.0,1.0,280.0,72.0,2018,1,5
30,0.0,64,15,10,1011,32,35,23,30,17,8,10,2018-01-05,3.0,Haze.,30.0,26.0,1012.0,1.0,280.0,72.0,2018,1,5
31,0.0,62,16,10,1011,24,35,23,31,18,8,11,2018-01-05,3.0,Haze.,30.0,26.0,1012.0,1.0,280.0,72.0,2018,1,5
31,0.0,60,17,10,1010,15,36,23,31,19,8,12,2018-01-05,7.0,Overcast.,33.0,29.0,1010.0,2.0,320.0,62.0,2018,1,5
31,0.0,62,16,10,1010,17,35,23,31,19,8,13,2018-01-05,7.0,Overcast.,33.0,29.0,1010.0,2.0,320.0,62.0,2018,1,5
30,0.0,65,16,10,1010,19,34,23,30,20,8,14,2018-01-05,7.0,Overcast.,33.0,29.0,1010.0,2.0,320.0,62.0,2018,1,5
30,0.0,67,16,10,1010,21,34,23,30,20,7,15,2018-01-05,7.0,Overcast.,33.0,29.0,1010.0,2.0,320.0,62.0,2018,1,5
29,0.0,71,15,10,1010,21,32,23,29,19,7,16,2018-01-05,7.0,Overcast.,33.0,29.0,1010.0,2.0,320.0,62.0,2018,1,5
